annual_income,debt_to_income_ratio,credit_utilization,late_payments,credit_history_years,loan_amount,interest_rate,employment_years,default
69002.4,0.422,0.132,0,11.8,32915.62,6.55,2.1,0
75497.49,0.499,0.377,1,10.2,34812.8,8.3,4.6,0
74909.53,0.172,0.335,1,2.4,31509.45,9.07,15.3,0
93985.55,0.314,0.265,1,1.7,30968.36,7.43,3.5,1
86734.0,0.385,0.763,0,2.2,19801.21,15.12,11.3,0
59868.08,0.327,0.332,0,7.4,19849.24,8.35,7.4,0
68606.42,0.265,0.402,0,7.3,22901.0,6.32,18.8,0
110302.62,0.501,0.322,1,6.9,45454.32,9.85,9.8,1
79161.2,0.274,0.482,0,11.0,31045.07,6.79,6.7,0
64869.14,0.377,0.558,0,2.2,13766.76,9.71,7.8,0
60216.01,0.352,0.493,0,11.3,10608.76,7.12,6.2,0
60293.92,0.288,0.83,0,16.0,15660.03,8.14,4.2,0
37958.05,0.413,0.817,4,7.8,6613.83,16.39,0.3,1
79850.78,0.258,0.348,0,9.6,14882.88,6.62,3.2,0
50648.53,0.349,0.806,0,9.6,22425.94,10.18,9.5,0
72057.86,0.234,0.554,0,19.3,19884.15,6.76,0.7,0
49220.22,0.128,0.167,2,9.5,14978.85,6.42,4.5,1
68822.03,0.356,0.415,0,8.5,23228.47,9.19,4.0,0
78611.08,0.485,0.373,0,6.8,27130.68,7.44,9.2,1
58365.99,0.337,0.537,0,4.9,14708.93,8.67,3.0,1
21200.56,0.281,0.981,1,5.8,7253.96,12.57,5.7,1
91659.49,0.326,0.134,0,7.7,35091.22,3.54,3.7,0
75970.33,0.397,0.184,1,11.3,6750.29,8.88,2.9,1
27388.38,0.25,0.916,2,8.3,6257.67,14.31,16.0,1
92536.15,0.214,0.448,0,3.8,15078.31,8.35,1.7,0
38992.94,0.168,0.552,0,5.1,2730.67,10.26,2.8,0
125510.02,0.11,0.441,0,8.1,34095.67,9.75,2.2,0
76922.66,0.286,0.171,0,11.0,13883.02,3.98,4.2,0
19699.66,0.497,0.228,0,6.7,4383.03,3.5,10.5,0
78524.15,0.235,0.404,1,19.7,31619.26,8.55,7.2,0
54825.61,0.161,0.428,3,3.5,21014.23,9.25,7.2,1
52582.4,0.261,0.57,1,6.7,17081.98,8.72,5.6,0
42451.43,0.391,0.386,0,2.9,8095.08,10.49,1.7,1
73253.29,0.201,0.195,0,7.7,10672.09,8.6,1.9,0
63988.84,0.297,0.361,0,12.2,14572.11,9.89,2.9,0
26907.6,0.296,0.439,0,14.0,11837.77,8.05,1.2,0
113743.6,0.366,0.665,2,1.4,22447.97,14.22,12.1,1
57340.71,0.414,0.163,0,4.8,21359.72,6.16,6.3,0
54472.26,0.352,0.075,0,26.3,24372.67,3.5,2.8,0
35497.66,0.396,0.45,0,5.4,17036.91,9.05,18.3,1
110883.14,0.424,0.022,1,7.2,18017.83,6.67,3.3,1
39634.76,0.225,0.581,0,15.3,5424.52,10.23,3.4,0
84339.83,0.228,0.297,0,9.9,20981.08,7.93,6.0,0
41727.94,0.314,0.745,2,3.3,18600.97,10.5,4.0,1
47749.03,0.315,0.413,1,4.3,6129.69,8.75,11.6,0
36342.95,0.461,0.502,2,1.2,12891.56,11.61,16.1,1
41355.3,0.375,0.382,0,5.5,11824.37,9.31,3.4,1
43541.47,0.532,0.416,4,5.0,7505.77,10.64,14.1,1
100076.39,0.111,0.125,0,12.7,11402.53,6.56,6.0,0
52486.9,0.333,0.231,0,6.9,18137.72,7.62,5.6,0
71840.42,0.317,0.393,0,12.7,20374.35,5.69,12.6,0
119354.37,0.128,0.186,1,3.9,23626.32,6.79,5.2,0
36374.18,0.351,0.16,0,7.4,4877.17,7.31,5.9,0
71125.3,0.178,0.582,1,12.0,31500.66,10.09,4.7,1
52341.42,0.114,0.211,0,14.3,12155.49,7.82,1.7,0
38885.15,0.392,0.232,2,14.5,12644.46,9.32,3.5,0
76441.18,0.247,0.151,0,7.8,18677.08,9.24,21.0,0
48464.06,0.333,0.349,0,6.2,6951.67,10.07,3.7,0
34960.04,0.194,0.951,1,2.3,16006.09,11.94,12.6,0
116592.22,0.217,0.321,0,3.2,32676.04,6.78,1.5,0
112268.81,0.231,0.633,1,19.3,41401.36,9.78,2.1,0
19156.04,0.307,0.557,1,4.0,5435.53,12.36,6.9,0
32274.36,0.227,0.516,0,18.3,9798.2,5.45,1.2,0
121798.09,0.217,0.28,0,6.5,22375.75,8.8,1.6,0
69626.72,0.36,0.077,0,8.9,8376.53,7.26,2.1,0
184613.42,0.153,0.01,0,12.8,35861.69,4.21,6.1,0
91156.3,0.288,0.251,0,4.3,39040.01,8.02,3.0,1
80057.09,0.383,0.141,1,21.3,21622.48,5.56,3.4,0
44878.63,0.252,0.504,2,12.8,16350.9,10.81,4.6,0
62405.34,0.365,0.823,0,6.7,15982.23,10.99,1.1,1
33760.91,0.212,0.146,0,5.4,7656.63,6.62,11.5,0
113278.49,0.258,0.76,1,9.1,13770.88,10.24,21.3,0
96650.95,0.299,0.562,1,14.7,14666.82,11.54,3.7,0
53702.11,0.205,0.49,1,6.3,12022.19,9.37,8.9,0
99470.79,0.204,0.897,1,12.6,16036.69,10.83,2.5,0
193980.67,0.37,0.46,1,22.8,80000.0,6.54,10.5,0
82439.22,0.275,0.04,0,6.4,24813.55,6.23,14.2,0
91154.44,0.381,0.538,0,8.3,21535.18,6.97,8.1,0
55145.66,0.229,0.41,1,17.3,17306.98,8.69,1.1,0
73324.93,0.395,0.384,2,8.3,30518.95,7.39,8.0,1
37568.94,0.203,0.315,0,20.6,7323.02,6.09,4.1,0
74112.13,0.219,0.503,1,6.9,14336.92,9.74,12.6,0
71430.31,0.322,0.166,0,14.3,19307.03,3.5,9.5,0
158935.53,0.274,0.465,0,3.7,63765.99,11.03,8.5,1
26079.24,0.306,0.39,1,11.8,10844.35,8.1,8.4,0
49986.18,0.407,0.775,1,9.4,14209.54,12.77,7.8,1
132277.18,0.22,0.303,0,5.1,13436.69,6.77,6.9,0
65133.72,0.358,0.226,0,10.4,23966.5,9.17,10.6,0
58395.5,0.28,0.518,0,3.4,23288.09,10.72,7.7,1
41339.08,0.325,0.624,0,9.5,4030.5,8.58,10.8,0
46587.36,0.114,0.316,0,13.9,13124.01,7.49,8.1,0
24944.04,0.367,0.563,1,9.9,5002.79,11.27,14.2,1
42980.68,0.165,0.73,0,5.7,5426.36,8.96,0.3,0
34396.25,0.373,0.606,2,5.7,15057.41,12.48,9.2,1
54143.34,0.318,0.992,1,16.5,23195.46,12.09,6.1,1
53519.9,0.395,0.323,0,5.8,3692.26,11.52,1.4,1
53897.3,0.232,0.294,0,12.8,7411.11,5.51,9.5,0
54633.36,0.249,0.288,0,5.0,20829.27,8.58,5.2,0
67496.8,0.32,0.339,0,3.7,16645.37,8.8,2.0,0
58539.34,0.256,0.106,0,3.3,8229.77,6.72,13.0,0
51807.78,0.093,0.057,0,6.3,17925.11,5.74,9.7,0
69814.86,0.27,0.791,0,6.9,6032.97,11.81,3.6,0
128359.71,0.139,0.157,0,11.7,12330.9,9.88,7.0,0
71336.81,0.156,0.435,0,10.6,15884.51,9.11,7.7,0
57618.34,0.308,0.198,0,8.4,14410.2,8.93,2.9,0
76427.51,0.305,0.427,0,6.3,19889.21,5.88,4.8,0
24476.57,0.244,0.368,0,4.6,9633.31,9.46,4.2,0
62081.43,0.186,0.84,2,3.5,27791.92,11.11,3.9,1
51144.37,0.292,0.417,1,7.3,25016.56,8.8,7.0,1
30621.69,0.388,0.577,1,4.8,14878.01,11.61,1.7,1
45337.48,0.392,0.34,0,17.5,10235.93,9.85,7.8,0
51675.41,0.251,0.101,1,12.7,9757.03,12.33,4.1,0
130099.23,0.141,0.01,0,20.4,20726.83,3.5,1.8,0
141118.77,0.069,0.183,1,4.0,42539.34,6.13,3.8,0
33809.94,0.361,0.522,2,8.2,6455.66,13.45,5.1,1
61472.34,0.246,0.226,0,18.7,19667.73,6.31,10.9,0
63440.06,0.156,0.606,1,15.4,8435.84,7.61,4.2,0
100921.74,0.199,0.215,0,7.2,39370.61,4.63,9.2,0
73979.03,0.374,0.258,0,6.7,25895.34,8.81,5.2,0
82141.87,0.129,0.417,0,14.5,9440.82,8.15,8.3,0
92361.43,0.489,0.052,0,7.1,13299.2,7.36,10.5,0
41952.13,0.421,0.867,2,12.3,12141.98,9.12,5.1,1
148878.75,0.348,0.241,1,18.9,32413.98,5.39,1.5,0
84915.6,0.172,0.035,1,25.1,22303.97,7.41,5.0,0
38778.06,0.178,0.639,3,20.5,13045.32,11.47,10.3,0
56289.77,0.434,0.42,0,18.3,13093.01,8.27,3.9,0
135655.19,0.199,0.237,1,11.0,27983.87,7.34,11.9,0
71420.59,0.071,0.146,0,7.5,30241.77,7.23,4.0,0
120836.11,0.275,0.416,0,11.0,25201.51,11.54,7.7,0
50810.06,0.328,0.57,0,5.5,21574.48,7.06,4.8,0
39074.95,0.186,0.271,0,4.0,13959.97,8.72,3.5,0
110163.72,0.355,0.784,1,18.2,30509.99,11.17,16.1,0
45309.83,0.271,0.828,0,11.0,13367.12,11.29,11.4,1
90586.38,0.329,0.506,2,6.3,15130.93,10.38,8.0,1
117835.66,0.075,0.01,0,8.6,28224.44,4.97,12.9,0
37893.4,0.309,0.283,0,17.9,17311.07,7.95,1.9,1
79392.77,0.12,0.427,1,11.1,23426.01,8.13,4.4,0
49549.73,0.256,0.851,0,6.8,16733.58,11.59,7.4,0
77288.65,0.289,0.495,0,5.8,10912.22,10.57,2.9,0
141474.15,0.206,0.65,1,8.2,58670.18,10.75,9.1,1
52113.37,0.232,0.295,1,19.7,6018.05,7.05,10.8,0
128520.29,0.142,0.343,0,6.3,42512.38,7.79,1.5,0
78007.42,0.179,0.816,0,16.6,8291.29,12.25,1.2,0
67285.35,0.437,0.23,1,28.2,23672.17,5.65,6.3,0
64806.51,0.288,0.392,1,11.4,10683.44,9.81,9.2,0
41742.91,0.209,0.544,0,1.9,18356.12,10.2,2.2,0
70391.76,0.493,0.442,1,5.0,16031.17,11.32,3.3,0
53707.86,0.425,0.72,2,3.7,24390.65,14.02,4.8,1
45580.85,0.27,0.239,2,11.9,4285.32,6.62,3.1,0
148669.36,0.137,0.247,0,7.1,19978.96,7.39,12.8,0
76700.58,0.292,0.705,0,5.1,9315.79,13.43,4.5,0
57019.96,0.25,0.606,0,30.9,23552.42,8.73,7.0,0
154039.1,0.216,0.404,0,8.5,18929.08,8.68,7.2,0
25461.94,0.236,0.58,0,7.9,3098.24,9.56,5.6,0
108323.14,0.427,0.596,1,11.8,25063.72,9.15,2.2,0
43672.51,0.136,0.355,1,15.8,9070.92,5.74,16.9,0
122884.89,0.03,0.01,0,7.7,38715.71,3.88,2.1,0
62911.64,0.157,0.243,1,15.0,4627.57,8.28,3.9,0
32287.4,0.361,0.613,1,25.3,14839.37,13.11,9.3,0
139437.89,0.242,0.565,0,12.5,17116.67,7.76,15.5,0
227683.06,0.134,0.058,0,15.5,34428.36,3.5,8.7,0
50183.17,0.27,0.313,1,14.6,20724.4,6.95,6.4,0
79710.29,0.236,0.413,0,5.1,29521.24,12.75,0.6,0
58561.24,0.302,0.501,1,1.5,26020.29,13.29,3.4,1
149282.07,0.166,0.392,3,10.1,30831.29,8.12,3.7,1
22915.79,0.369,0.817,0,3.4,10673.31,11.07,10.4,0
76895.36,0.377,0.174,2,17.0,21939.62,7.86,6.0,0
42900.73,0.33,0.758,1,12.1,5749.33,12.44,0.9,0
18000.0,0.416,0.375,2,3.6,3505.95,10.77,19.6,1
48964.34,0.182,0.467,0,3.9,7908.85,10.88,6.5,1
212602.75,0.08,0.309,0,8.8,49293.38,8.02,7.8,0
46207.32,0.244,0.148,1,11.9,13059.51,9.59,4.0,0
82800.84,0.291,0.569,0,3.6,27528.47,10.37,6.8,1
99727.18,0.505,0.181,0,12.1,19752.61,9.32,2.7,0
72361.19,0.386,0.715,0,19.6,15770.7,9.61,4.4,0
59795.79,0.21,0.526,3,9.3,14580.91,10.43,1.5,1
25719.41,0.309,0.372,0,10.2,8570.64,8.54,4.9,0
31949.17,0.359,0.664,2,11.8,12971.6,11.73,7.3,1
118495.1,0.055,0.021,0,6.5,12597.61,3.5,3.0,0
75930.45,0.312,0.233,1,4.9,28892.67,5.65,3.9,0
85183.75,0.218,0.415,0,10.2,18362.05,9.23,2.8,0
78402.74,0.309,0.44,0,11.5,14931.16,12.95,3.4,0
224544.28,0.458,0.302,1,1.8,54109.58,11.16,2.1,0
86046.36,0.155,0.397,1,10.5,4302.32,9.74,2.1,0
157536.38,0.244,0.026,0,7.4,21488.37,6.33,6.7,0
68339.78,0.176,0.634,0,6.8,22770.1,9.74,10.4,0
165942.06,0.421,0.16,0,7.0,69242.83,6.88,8.0,0
27711.77,0.29,0.923,1,8.5,7934.93,12.77,7.5,1
74143.37,0.135,0.305,1,4.7,12358.95,7.89,9.5,0
45785.77,0.516,0.745,1,4.7,20537.6,11.19,3.2,1
69729.76,0.434,0.492,1,14.3,14011.8,12.1,1.7,0
107127.87,0.344,0.198,0,0.7,16994.52,8.23,3.8,0
77996.01,0.348,0.641,1,10.3,29350.52,9.65,12.0,0
98129.29,0.383,0.39,2,5.7,17529.7,9.98,3.5,0
48854.73,0.222,0.335,1,16.2,14508.39,6.31,1.6,1
42316.11,0.276,0.372,1,14.2,5490.85,9.74,10.8,0
64626.52,0.172,0.223,0,18.9,10653.6,7.26,5.9,0
69901.03,0.481,0.51,1,13.6,22442.53,9.33,3.7,1
58293.93,0.371,0.296,0,10.5,9633.94,6.9,2.3,0
30019.97,0.291,0.561,3,1.4,5280.63,9.77,13.6,1
126232.31,0.383,0.126,0,7.7,20526.81,7.54,8.4,0
53422.47,0.413,0.352,2,15.1,26196.37,9.72,7.7,0
110253.31,0.335,0.352,0,14.3,42199.96,8.46,1.1,0
57007.57,0.381,0.136,0,16.1,7056.81,4.4,10.9,0
92654.63,0.283,0.677,1,9.8,36747.78,9.85,1.0,0
130132.16,0.034,0.333,0,8.2,41439.18,7.92,8.7,0
42147.84,0.412,0.377,1,1.4,15229.72,10.83,3.0,0
115686.16,0.158,0.232,0,14.4,22068.11,5.86,4.2,0
135628.23,0.566,0.265,2,13.9,54177.13,7.71,4.1,0
74676.52,0.298,0.4,0,4.4,19880.3,8.87,5.2,0
89315.29,0.527,0.431,1,5.4,17623.02,11.9,8.6,1
109575.74,0.365,0.753,0,7.2,43699.28,11.48,6.5,0
101017.4,0.428,0.423,0,2.2,30191.29,8.95,1.4,0
71328.56,0.398,0.405,0,7.3,8648.44,8.23,16.0,0
88907.43,0.323,0.475,1,10.4,30155.96,8.17,2.2,0
106115.68,0.446,0.069,1,5.5,11255.49,4.72,2.6,0
35055.17,0.104,0.254,1,4.5,13177.63,7.68,2.0,1
49176.87,0.4,0.613,0,6.7,22267.0,9.09,11.2,0
54468.7,0.295,0.508,1,12.0,18887.06,11.75,3.8,1
47639.16,0.363,0.692,0,3.8,7787.5,11.64,3.3,0
110668.66,0.274,0.313,1,28.6,48591.58,8.13,14.3,0
37746.15,0.403,0.575,0,19.0,9372.2,9.31,5.5,0
35888.97,0.101,0.314,1,10.4,2843.39,7.7,2.0,0
138409.03,0.03,0.029,1,22.3,53646.94,5.37,0.8,0
35441.82,0.399,0.798,1,8.0,10832.6,11.0,23.1,0
23670.21,0.366,0.573,1,12.8,8838.24,10.02,7.7,1
122810.71,0.13,0.645,1,8.0,38869.1,12.13,6.2,0
75483.41,0.411,0.392,1,13.4,29979.93,10.53,9.6,1
95306.34,0.348,0.687,0,6.3,20130.13,8.33,1.0,0
43242.24,0.303,0.338,1,12.9,20355.73,5.61,2.6,0
31033.88,0.311,0.571,1,12.7,14676.74,8.28,4.3,0
34677.23,0.173,0.295,1,19.6,4934.74,4.59,5.4,0
54022.51,0.379,0.447,0,12.2,24061.62,9.38,9.7,0
37140.73,0.281,0.546,0,10.0,5259.72,9.55,7.2,0
76346.65,0.356,0.389,0,7.1,20916.02,8.59,5.6,0
65835.38,0.165,0.01,0,5.5,26997.69,5.93,13.9,0
105441.44,0.123,0.059,1,6.5,35486.69,6.63,2.5,0
71519.19,0.234,0.554,1,10.0,26358.19,10.43,4.9,1
77737.13,0.354,0.227,2,7.3,15742.1,9.81,15.4,0
71220.24,0.324,0.532,0,7.2,22255.01,11.32,2.1,1
44836.46,0.321,0.227,0,2.4,8462.47,8.69,15.3,0
57778.3,0.277,0.67,1,5.0,29877.03,9.27,5.6,1
89342.33,0.413,0.127,0,10.7,7400.29,8.9,10.2,0
22421.11,0.24,0.57,1,10.2,8577.61,12.16,4.0,1
85883.06,0.322,0.984,0,6.0,16264.56,12.66,15.1,0
48733.92,0.356,0.749,1,6.0,18196.65,10.57,12.6,1
70346.66,0.28,0.425,0,3.7,30241.02,8.3,0.9,1
30652.65,0.27,0.16,1,6.7,4943.3,6.55,3.1,0
62176.84,0.308,0.302,0,4.3,17694.59,11.26,6.1,0
46380.8,0.327,0.281,0,16.0,18888.4,5.38,6.2,0
85686.14,0.253,0.156,2,2.8,19130.64,9.76,12.8,1
41312.19,0.243,0.468,0,4.0,6515.19,11.67,3.9,0
45236.45,0.161,0.289,0,10.9,13048.16,9.15,7.5,0
89509.34,0.369,0.098,0,14.1,39675.54,6.6,7.4,0
38960.25,0.197,0.939,0,16.4,6874.63,10.45,16.1,0
46091.65,0.382,0.498,0,8.9,12799.91,5.89,5.1,0
155246.31,0.135,0.064,0,8.8,7762.32,5.74,6.3,0
98859.36,0.453,0.446,1,10.3,10022.75,9.63,9.3,0
107548.87,0.345,0.275,0,6.1,45109.73,7.25,1.4,0
101500.87,0.379,0.657,0,10.9,22185.29,10.12,16.8,0
61696.2,0.341,0.118,1,13.7,25885.51,7.66,3.4,0
64398.85,0.233,0.307,0,12.6,9491.99,3.5,1.0,0
43902.63,0.452,0.883,0,7.1,7893.05,13.84,28.0,1
94186.43,0.187,0.105,0,2.9,15063.31,6.04,18.0,0
57330.84,0.195,0.212,0,9.2,23705.3,7.16,6.6,0
49510.75,0.276,0.528,0,6.6,18952.94,7.8,10.5,0
100054.34,0.281,0.129,0,10.0,32004.34,6.71,1.1,0
155321.26,0.089,0.411,0,11.0,22996.22,10.46,3.0,0
73973.27,0.29,0.265,1,9.2,17238.29,9.8,3.3,0
134435.45,0.337,0.48,0,8.8,26049.05,7.24,2.2,0
48816.07,0.482,0.116,0,3.2,5500.64,7.34,10.2,1
38513.74,0.407,0.112,0,17.9,5389.29,7.01,11.3,0
85590.47,0.272,0.681,2,3.0,28365.84,13.63,7.6,1
61228.31,0.132,0.224,0,7.9,24849.97,6.01,8.0,0
56754.08,0.524,0.349,0,13.5,9019.87,10.44,7.0,1
33515.22,0.309,0.168,0,16.7,7353.26,4.88,5.8,0
53168.23,0.221,0.392,1,12.1,19171.85,8.13,11.5,0
35486.21,0.205,0.62,0,9.0,9539.05,11.71,1.4,0
56847.36,0.235,0.187,0,7.5,11603.8,6.25,7.2,0
62376.98,0.083,0.367,1,11.3,24218.95,5.95,3.3,1
64618.2,0.324,0.357,0,5.7,8327.63,8.99,6.4,0
132415.65,0.262,0.214,0,10.1,10225.98,6.75,8.2,0
80446.48,0.33,0.453,1,2.5,27661.0,7.27,7.9,0
29840.86,0.388,0.234,0,10.7,7163.76,8.68,10.7,0
101795.33,0.247,0.316,0,2.6,32608.6,8.44,6.7,0
82409.47,0.186,0.343,1,19.0,7799.13,5.03,10.1,0
84449.22,0.088,0.227,0,6.1,21105.0,8.04,3.8,0
64205.87,0.38,0.068,0,18.0,19682.9,6.1,5.5,0
79394.32,0.114,0.278,0,5.8,34398.32,9.25,8.7,0
71304.06,0.031,0.405,0,8.8,26410.55,7.85,7.5,0
67876.76,0.399,0.195,0,15.8,30527.41,6.32,14.2,0
138651.55,0.22,0.517,0,5.5,52552.84,9.19,0.6,0
37694.89,0.364,0.383,0,0.5,15109.97,9.07,1.0,0
54467.6,0.101,0.098,0,28.5,12934.72,4.52,1.2,0
83138.2,0.314,0.206,0,8.4,23286.01,7.4,9.6,0
33090.32,0.502,1.0,0,12.0,10158.84,11.67,11.6,0
23938.54,0.46,0.381,1,9.4,4340.99,9.35,3.9,1
64933.31,0.3,0.498,1,14.8,27832.11,10.72,9.5,0
150803.84,0.326,0.127,0,11.2,24511.33,6.89,3.3,0
60484.07,0.214,0.869,1,2.2,15968.58,10.02,5.9,0
107507.51,0.057,0.101,0,10.1,10811.11,7.12,7.1,0
32944.6,0.239,0.42,0,15.9,2801.92,6.95,3.5,0
87770.49,0.287,0.01,0,7.5,23381.59,3.5,4.2,0
55497.66,0.306,0.364,1,9.3,10885.41,10.67,4.6,0
52988.0,0.176,0.478,0,7.2,22397.53,5.99,4.8,0
72950.57,0.282,0.696,1,7.2,22549.78,9.74,4.0,0
61544.46,0.246,0.541,0,3.9,24000.55,8.11,5.1,1
29190.75,0.568,0.833,1,6.5,12927.75,11.23,11.5,1
87452.28,0.227,0.355,0,11.5,26071.37,4.49,14.6,0
121125.43,0.209,0.515,0,7.9,16131.49,8.78,2.2,0
45538.9,0.385,0.33,0,6.6,20923.66,9.47,6.4,0
57203.46,0.233,0.102,0,6.6,23948.53,8.73,11.3,0
52976.92,0.273,0.579,2,4.4,10102.89,11.7,19.8,0
120620.89,0.182,0.466,0,13.4,22141.2,7.7,2.9,0
37132.0,0.444,0.502,0,12.6,8757.72,9.89,5.9,0
93320.03,0.132,0.268,1,12.0,12485.63,9.21,7.8,0
57245.13,0.289,0.289,0,16.3,5140.93,6.0,8.0,0
89388.7,0.078,0.734,0,2.8,9646.29,9.64,7.1,1
49620.42,0.494,0.179,0,7.7,10222.38,11.06,5.8,0
44170.33,0.287,0.323,0,6.5,8131.92,8.08,1.6,0
144221.61,0.186,0.198,1,6.9,43723.42,8.26,4.7,0
34189.82,0.184,0.642,0,5.6,11255.18,6.79,14.0,0
78342.92,0.36,0.63,1,8.6,27428.1,8.77,11.8,0
182363.59,0.187,0.187,0,1.6,80000.0,9.68,2.3,0
83948.83,0.169,0.417,0,4.2,30428.19,9.06,0.1,1
31484.21,0.524,0.53,2,5.4,8181.4,7.57,13.4,0
24234.3,0.544,0.475,2,13.4,6324.76,10.1,1.5,1
50345.25,0.09,0.179,0,8.7,4238.09,6.97,7.7,0
78932.78,0.349,0.025,0,2.5,14700.11,4.27,10.3,0
67015.62,0.291,0.775,1,1.3,21454.91,10.73,4.4,1
32396.06,0.297,0.554,1,20.3,6224.23,8.47,7.8,0
48725.28,0.215,0.466,0,24.7,20592.51,7.37,7.9,0
49131.59,0.234,0.208,0,11.2,12653.33,5.98,3.8,0
57177.95,0.189,0.738,0,6.3,23141.23,11.64,4.4,1
201255.45,0.068,0.185,0,10.0,70363.23,8.48,9.5,0
46398.32,0.166,0.58,0,9.6,13780.7,9.32,2.2,0
41939.71,0.309,0.363,0,25.9,6663.67,6.66,9.3,0
33657.98,0.329,0.609,0,15.2,5359.16,8.52,4.0,0
101626.56,0.182,0.03,0,9.3,36220.85,4.82,6.8,0
89518.5,0.13,0.01,0,17.0,7129.0,4.97,2.0,0
60097.88,0.03,0.292,0,4.7,12183.75,6.5,3.5,0
69886.46,0.448,0.237,0,4.0,19450.84,8.79,11.2,0
57379.64,0.294,0.557,0,14.8,3833.43,9.83,18.5,0
80340.45,0.307,0.267,0,11.8,6481.41,8.55,13.7,0
250000.0,0.302,0.01,0,6.0,35400.71,7.28,4.9,0
99123.19,0.314,0.166,0,18.8,39917.18,8.75,3.7,0
73606.03,0.179,0.832,1,13.2,7165.49,9.02,7.4,0
53026.97,0.118,0.289,1,3.9,5624.49,7.18,6.3,0
28877.85,0.256,0.224,1,5.8,10996.43,8.07,0.0,1
86987.74,0.147,0.764,0,0.7,26096.42,9.77,7.2,1
93973.89,0.365,0.524,1,16.8,23230.85,7.97,1.8,0
58530.23,0.408,0.291,0,10.6,19948.67,9.57,0.8,0
130480.69,0.315,0.659,1,2.1,19908.47,12.66,3.2,0
65183.06,0.204,0.178,0,7.8,18392.37,6.94,8.1,0
89830.61,0.388,0.807,0,4.9,35717.0,11.92,3.6,1
90640.49,0.242,0.097,0,11.6,25173.25,7.35,7.9,0
62093.76,0.418,0.225,1,3.2,26639.21,10.17,7.1,0
59514.63,0.391,0.01,0,13.3,12764.9,4.53,3.9,0
61299.76,0.246,0.458,0,19.3,19592.36,7.87,17.2,0
90174.63,0.196,0.626,1,9.7,37904.2,10.5,0.8,0
55724.16,0.29,0.167,1,5.4,9583.58,6.91,2.1,0
62799.01,0.339,1.0,3,6.4,23758.29,12.94,2.4,1
46562.37,0.157,0.544,0,2.1,15960.37,6.69,1.5,0
95501.81,0.293,0.605,2,8.1,10519.61,11.72,4.6,1
79475.72,0.323,0.407,0,8.4,6664.75,7.51,3.3,0
38804.73,0.115,0.853,0,12.8,15517.18,10.62,5.1,0
62194.86,0.263,0.248,0,11.1,23898.22,7.23,2.2,0
104528.79,0.319,0.438,0,8.0,34286.48,9.48,5.3,0
32443.45,0.47,0.428,0,6.9,7917.59,9.23,6.1,0
32622.88,0.343,0.7,0,13.0,11062.92,10.47,8.6,0
65792.72,0.291,0.538,0,20.8,15929.1,6.76,5.7,0
166177.4,0.258,0.454,0,9.6,50145.38,7.29,4.6,0
55089.16,0.062,0.597,0,27.2,7524.8,8.32,10.9,0
76301.02,0.184,0.524,1,21.0,16969.85,7.66,10.9,0
87033.35,0.358,0.265,0,6.0,6530.85,7.01,12.6,0
43035.81,0.389,0.6,1,2.1,8132.76,13.73,5.1,1
51580.78,0.281,0.652,3,4.8,18987.46,12.7,12.5,1
55928.86,0.298,0.528,0,8.0,7187.82,9.48,1.5,1
81334.34,0.105,0.01,0,5.4,22897.87,5.52,6.2,0
33441.21,0.063,0.359,0,6.5,8612.8,7.93,16.9,0
55184.29,0.306,1.0,0,17.0,23469.88,13.55,0.6,1
95830.43,0.371,0.136,0,13.7,18516.18,8.27,3.6,0
67171.29,0.332,0.559,0,9.6,29496.45,11.86,3.1,0
97667.07,0.49,0.273,0,5.5,30152.2,7.93,12.6,0
83142.19,0.26,0.345,1,14.1,7665.0,8.59,8.4,0
54385.19,0.354,0.464,2,10.4,13753.82,10.77,7.3,1
43423.28,0.307,0.407,1,14.1,12826.17,12.75,5.1,0
42208.81,0.305,0.641,0,2.0,14006.54,12.13,8.3,0
31698.05,0.188,0.726,1,6.3,4074.35,12.23,1.9,0
51752.27,0.31,0.739,0,21.2,6660.61,9.32,3.8,0
76609.99,0.279,0.596,0,9.5,19397.72,8.01,5.3,0
170569.62,0.383,0.366,0,15.4,20771.82,9.47,13.2,0
66687.57,0.422,0.38,1,6.0,13814.73,11.59,7.0,0
43370.74,0.465,0.389,1,7.8,19943.6,10.37,10.8,1
29959.01,0.332,0.319,1,7.8,7810.56,6.75,16.5,0
60374.35,0.387,0.446,2,10.1,17894.21,10.86,1.0,0
110277.19,0.2,0.515,1,16.3,32193.76,9.97,8.2,0
61059.85,0.226,0.106,2,4.1,17522.82,5.69,3.0,0
70098.48,0.519,0.711,3,7.4,35613.24,14.91,11.3,1
57038.65,0.302,0.211,0,13.6,16061.46,7.01,1.6,0
126154.03,0.075,0.417,0,4.0,24256.12,10.3,5.9,0
32696.33,0.456,0.27,0,4.1,6254.42,5.78,1.4,0
110426.28,0.391,0.484,0,0.5,45467.66,8.88,6.9,0
41252.97,0.241,0.659,0,9.6,9471.36,10.52,2.2,0
132764.36,0.039,0.511,0,11.3,48020.07,11.49,6.1,0
44078.47,0.201,0.455,2,18.9,9244.16,10.74,13.3,0
57669.45,0.544,0.774,0,2.7,6194.33,10.61,5.1,0
61251.04,0.421,0.336,2,4.8,24013.67,8.1,1.5,1
81583.31,0.353,0.346,0,20.9,5957.98,8.15,3.1,0
71232.07,0.36,0.438,1,10.6,29900.84,8.41,3.1,0
